uid;dt;latitude;longitude;speed;radius;rssi;actualForever;userName;NetworkType
dmr:11092033@subscribers.global;2025-05-02 11:19:34.000;36,8430366516113;10,1114673614502;0,03125;17,5;NULL;0;dmr:11092033@subscribers.global;0
dmr:11092032@subscribers.global;2025-05-04 06:46:55.000;36,8621788024902;10,1161394119263;0,0546875;4,6953125;NULL;0;dmr:11092032@subscribers.global;0
dmr:11787020@subscribers.global;2025-05-07 00:51:30.000;36,7953681945801;10,3422021865845;0,0546875;3,3984375;NULL;0;dmr:11787020@subscribers.global;0
dmr:11837011@subscribers.global;2025-05-07 03:46:57.000;36,8338813781738;11,1131868362427;0;8,3984375;NULL;0;dmr:11837011@subscribers.global;0
dmr:11105032@subscribers.global;2025-05-07 06:35:03.000;36,6936073303223;10,2084341049194;1,390625;3,3984375;NULL;0;dmr:11105032@subscribers.global;0
dmr:11112051@subscribers.global;2025-05-13 05:30:58.000;36,7231140136719;10,2994918823242;0,421875;9,5;NULL;0;dmr:11112051@subscribers.global;0
dmr:11202063@subscribers.global;2025-05-13 07:13:04.000;36,919506072998;10,8534383773804;0;4,796875;NULL;0;dmr:11202063@subscribers.global;0
dmr:11113013@subscribers.global;2025-05-13 08:50:32.000;36,703052520752;10,3979320526123;0,0234375;4,1953125;NULL;0;dmr:11113013@subscribers.global;0
dmr:11007088@subscribers.global;2025-05-13 10:37:11.000;36,9251556396484;10,1028709411621;0,171875;12,796875;NULL;0;dmr:11007088@subscribers.global;0
dmr:11113013@subscribers.global;2025-05-13 12:08:32.000;36,703052520752;10,3979358673096;0,0078125;4,1953125;NULL;0;dmr:11113013@subscribers.global;0
dmr:11837011@subscribers.global;2025-05-13 13:01:06.000;36,7224998474121;11,0470199584961;3,46875;14,5;NULL;0;dmr:11837011@subscribers.global;0
dmr:11817012@subscribers.global;2025-05-13 13:44:28.000;36,8089942932129;10,3070583343506;0,046875;14;NULL;0;dmr:11817012@subscribers.global;0
dmr:11042040@subscribers.global;2025-05-14 01:30:47.000;36,7629776000977;10,0008983612061;0;1,6953125;NULL;0;dmr:11042040@subscribers.global;0
dmr:11787016@subscribers.global;2025-05-14 02:53:52.000;36,7830543518066;11,0758485794067;2,421875;4,3984375;NULL;0;dmr:11787016@subscribers.global;0
dmr:11202062@subscribers.global;2025-05-14 04:05:06.000;37,0438919067383;11,0147819519043;0,0234375;10,5;NULL;0;dmr:11202062@subscribers.global;0
dmr:11817012@subscribers.global;2025-05-14 05:00:28.000;36,8089904785156;10,3070697784424;0,0234375;15,3984375;NULL;0;dmr:11817012@subscribers.global;0
dmr:11837069@subscribers.global;2025-05-14 06:10:23.000;37,0220985412598;11,0898275375366;1,34375;4,5;NULL;0;dmr:11837069@subscribers.global;0
dmr:11837079@subscribers.global;2025-05-14 07:21:58.000;36,910701751709;11,1379041671753;5,9375;8;NULL;0;dmr:11837079@subscribers.global;0
dmr:11092006@subscribers.global;2025-05-14 08:23:50.000;36,8568687438965;10,1166381835938;0,2265625;12,6953125;NULL;0;dmr:11092006@subscribers.global;0
dmr:11202062@subscribers.global;2025-05-14 09:14:06.000;37,0399398803711;11,0080261230469;15,5;5;NULL;0;dmr:11202062@subscribers.global;0
dmr:11112053@subscribers.global;2025-05-14 09:57:21.000;36,7231292724609;10,2993698120117;0,0546875;3,3984375;NULL;0;dmr:11112053@subscribers.global;0
dmr:11082033@subscribers.global;2025-05-14 10:37:55.000;36,8580932617188;10,1263303756714;0,015625;9,1953125;NULL;0;dmr:11082033@subscribers.global;0
dmr:11032050@subscribers.global;2025-05-14 11:20:17.000;36,8398857116699;10,0369710922241;0,0078125;7,59375;NULL;0;dmr:11032050@subscribers.global;0
dmr:11092029@subscribers.global;2025-05-14 11:57:56.000;36,862232208252;10,1160078048706;0,1953125;8,1953125;NULL;0;dmr:11092029@subscribers.global;0
dmr:11112053@subscribers.global;2025-05-14 12:33:23.000;36,7231864929199;10,2993965148926;0,0234375;4;NULL;0;dmr:11112053@subscribers.global;0
dmr:11093010@subscribers.global;2025-05-14 13:10:02.000;36,8569450378418;10,1166095733643;0,1015625;13,796875;NULL;0;dmr:11093010@subscribers.global;0
dmr:11837079@subscribers.global;2025-05-15 07:34:52.000;36,8336982727051;11,1131143569946;0,0546875;9,3984375;NULL;0;dmr:11837079@subscribers.global;0
dmr:11817012@subscribers.global;2025-05-15 10:05:30.000;36,8089294433594;10,3071336746216;0,03125;12,8984375;NULL;0;dmr:11817012@subscribers.global;0
dmr:11003013@subscribers.global;2025-05-15 12:27:54.000;36,8600654602051;10,1137065887451;0,125;7,8984375;NULL;0;dmr:11003013@subscribers.global;0
dmr:11032010@subscribers.global;2025-05-15 14:11:13.000;36,8152847290039;10,0578584671021;0,140625;9,1953125;NULL;0;dmr:11032010@subscribers.global;0
dmr:11032010@subscribers.global;2025-05-15 16:07:13.000;36,8152618408203;10,0578804016113;0,1953125;11,5;NULL;0;dmr:11032010@subscribers.global;0
dmr:11042040@subscribers.global;2025-05-15 18:45:51.000;36,693431854248;10,0067901611328;12,9140625;3,1953125;NULL;0;dmr:11042040@subscribers.global;0
dmr:11123001@subscribers.global;2025-05-15 21:11:20.000;36,644718170166;10,1317901611328;0,015625;9,296875;NULL;0;dmr:11123001@subscribers.global;0
